DateTime,AddedIPs,RemovedIPs
1502373721,80,80
1502374321,80,80
1502374922,80,80
1502375521,79,79
1502376124,80,80
1502377322,80,80
1502377922,80,80
1502378521,75,75
1502379121,80,80
1502379722,80,80
1502380322,80,80
1502380921,79,79
1502382122,80,80
1502383321,80,80
1502384521,80,80
1502385121,80,80
1502385721,80,80
1502386321,73,73
1502386921,80,80
1502387522,78,78
1502388721,80,80
1502389321,80,80
1502389922,80,80
1502390521,80,80
1502391722,79,79
1502392321,80,80
1502392922,79,79
1502393522,80,80
1502394122,80,80
1502394721,80,80
1502395322,80,80
1502395922,75,75
1502396522,80,80
1502397721,80,80
1502398321,80,80
1502398922,80,80
1502399522,80,80
1502400122,79,79
1502400721,79,79
1502401322,80,80
1502401921,80,80
1502402521,80,80
1502403721,80,80
1502404322,80,80
1502404921,80,80
1502406121,80,80
1502406721,80,80
1502407321,80,80
1502407921,80,80
1502408521,80,80
1502409121,80,80
1502409721,80,80
1502410321,78,78
1502410921,78,78
1502411522,80,80
1502412122,80,80
1502412723,78,78
1502413322,80,80
1502414522,80,80
1502415121,80,80
1502415721,77,77
1502416923,80,80
1502417522,80,80
1502418122,80,80
1502418722,80,80
1502419322,80,80
1502419921,80,80
1502420522,54,54
1502421122,80,80
1502421721,80,80
1502422321,77,77
1502422921,79,79
1502424122,80,80
1502424722,80,80
1502425322,78,78
1502425922,80,80
1502426521,80,80
1502427122,80,80
1502427721,80,80
1502428321,80,80
1502428923,80,80
1502430121,77,77
1502430721,80,80
1502431321,80,80
1502431922,63,63
1502432522,78,78
1502433121,80,80
1502433721,48,48
1502434322,64,64
1502434922,80,80
1502435522,79,79
1502436122,80,80
1502436722,71,71
1502437322,74,74
1502437922,79,79
1502438522,79,79
1502439721,70,70
1502440322,73,73
1502440921,80,80
1502441522,79,79
1502442122,79,79
1502443321,80,80
1502444522,79,79
1502445721,80,80
1502446322,79,79
1502446922,80,80
1502447521,80,80
1502448122,80,80
1502448722,80,80
1502449322,80,80
1502450522,80,80
1502451121,80,80
1502451722,78,78
1502453522,60,60
1502454122,80,80
1502455321,77,77
1502455921,79,79
1502456522,80,80
1502457122,80,80
1502457721,80,80
1502458322,80,80
1502458922,76,76
1502460121,80,80
1502460722,80,80
1502461322,79,79
1502462521,80,80
1502463121,80,80
1502463722,79,79
1502464322,78,78
1502464922,80,80
1502465521,80,80
1502466121,80,80
1502466721,80,80
1502467321,79,79
1502467922,80,80
1502468522,80,80
1502469722,79,79
1502470321,80,80
1502470921,80,80
1502471521,80,80
1502472122,80,80
1502472721,80,80
1502473321,80,80
1502473921,80,80
1502474522,80,80
1502475721,80,80
1502476321,79,79
